OpenJDK 64-Bit Server VM (25.265-b11) for linux-amd64 JRE (Zulu 8.48.0.53-CA-linux64) (1.8.0_265-b11), built on Jul 28 2020 03:24:25 by "zulu_re" with gcc 4.4.7 20120313 (Red Hat 4.4.7-3)
Memory: 4k page, physical 4096000k(4017676k free), swap 7811068k(7805044k free)
CommandLine flags: -XX:GCHeapFreeLimit=10 -XX:GCTimeLimit=50 -XX:InitialHeapSize=3145728000 -XX:MaxHeapSize=3145728000 -XX:+PrintFlagsFinal -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2021-03-16T17:39:02.878+1030: 2.644: [GC (Metadata GC Threshold) [PSYoungGen: 107520K->18250K(896000K)] 107520K->18258K(2944000K), 0.0285786 secs] [Times: user=0.04 sys=0.01, real=0.02 secs] 
2021-03-16T17:39:02.906+1030: 2.673: [Full GC (Metadata GC Threshold) [PSYoungGen: 18250K->0K(896000K)] [ParOldGen: 8K->17132K(2048000K)] 18258K->17132K(2944000K), [Metaspace: 21008K->21008K(1069056K)], 0.0466616 secs] [Times: user=0.07 sys=0.01, real=0.05 secs] 
2021-03-16T17:39:04.710+1030: 4.476: [GC (Metadata GC Threshold) [PSYoungGen: 460803K->19637K(896000K)] 477935K->36777K(2944000K), 0.0193973 secs] [Times: user=0.02 sys=0.01, real=0.02 secs] 
2021-03-16T17:39:04.729+1030: 4.495: [Full GC (Metadata GC Threshold) [PSYoungGen: 19637K->0K(896000K)] [ParOldGen: 17140K->22094K(2048000K)] 36777K->22094K(2944000K), [Metaspace: 35177K->35177K(1079296K)], 0.0441440 secs] [Times: user=0.06 sys=0.01, real=0.04 secs] 
2021-03-16T17:39:11.732+1030: 11.498: [GC (Allocation Failure) [PSYoungGen: 768000K->9561K(896000K)] 790094K->31663K(2944000K), 0.0184644 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 22021-03-16T17:39:17.403+1030: 17.169: [GC (Allocation Failure) [PSYoungGen: 777561K->5397K(896000K)] 799663K->27508K(2944000K), 0.0098795 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 22021-03-16T17:39:23.222+1030: 22.988: [GC (Allocation Failure) [PSYoungGen: 773397K->5493K(896000K)] 795508K->27612K(2944000K), 0.0133903 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2021-03-16T17:39:28.886+1030: 28.653: [GC (Allocation Failure) [PSYoungGen: 773493K->5493K(999936K)] 795612K->27612K(3047936K), 0.0137806 secs] [Times: user=0.02 sys=0.01, real=0.02 secs] 
2021-03-16T17:39:36.004+1030: 35.770: [GC (Allocation Failure) [PSYoungGen: 980853K->5493K(999424K)] 1002972K->27612K(3047424K), 0.0118260 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2021-03-16T17:39:43.395+1030: 43.161: [GC (Allocation Failure) [PSYoungGen: 980853K->5525K(1001472K)] 1002972K->27644K(3049472K), 0.0093059 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-03-16T17:39:50.718+1030: 50.484: [GC (Allocation Failure) [PSYoungGen: 983445K->5525K(1000448K)] 1005564K->27644K(3048448K), 0.0101591 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-03-16T17:39:57.787+1030: 57.553: [GC (Allocation Failure) [PSYoungGen: 983445K->5525K(1002496K)] 1005564K->27652K(3050496K), 0.0117903 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2021-03-16T17:40:05.023+1030: 64.790: [GC (Allocation Failure) [PSYoungGen: 986005K->5621K(1001984K)] 1008132K->27748K(3049984K), 0.0111497 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2021-03-16T17:40:12.280+1030: 72.046: [GC (Allocation Failure) [PSYoungGen: 986101K->5653K(1004032K)] 1008228K->27780K(3052032K), 0.0106389 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2021-03-16T17:40:19.369+1030: 79.135: [GC (Allocation Failure) [PSYoungGen: 989205K->5621K(1003520K)] 1011332K->27748K(3051520K), 0.0108365 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2021-03-16T17:40:26.561+1030: 86.327: [GC (Allocation Failure) [PSYoungGen: 989173K->5653K(1005568K)] 1011300K->27780K(3053568K), 0.0097641 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-03-16T17:40:33.484+1030: 93.251: [GC (Allocation Failure) [PSYoungGen: 992277K->5685K(1005056K)] 1014404K->27812K(3053056K), 0.0105086 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2021-03-16T17:40:40.720+1030: 100.487: [GC (Allocation Failure) [PSYoungGen: 992309K->5749K(1007104K)] 1014436K->27876K(3055104K), 0.0114490 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2021-03-16T17:40:47.773+1030: 107.540: [GC (Allocation Failure) [PSYoungGen: 995445K->5749K(1006592K)] 1017572K->27876K(3054592K), 0.0114003 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2021-03-16T17:40:55.027+1030: 114.794: [GC (Allocation Failure) [PSYoungGen: 995445K->544K(1007616K)] 1017572K->27931K(3055616K), 0.0102512 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2021-03-16T17:41:02.246+1030: 122.013: [GC (Allocation Failure) [PSYoungGen: 991776K->480K(1007616K)] 1019163K->28003K(3055616K), 0.0036131 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
